序号,国家/地区,中文校名,外文校名
134,德国,拜斯海姆管理学院,WHU - Otto Beisheim School of Management
135,德国,比勒费尔德大学,Bielefeld University
136,德国,波茨坦大学,University of Potsdam
137,德国,波恩大学,University of Bonn
138,德国,波鸿鲁尔大学,University of Bochum
139,德国,不来梅大学,University of Bremen
140,德国,布伦瑞克工业大学,Technical University of Braunschweig
141,德国,达姆施塔特工业大学,Technical University of Darmstadt
142,德国,德累斯顿工业大学,Technical University of Dresden
143,德国,杜塞尔多夫大学,University of Duesseldorf
144,德国,杜伊斯堡-埃森大学,University of Duisburg-Essen
145,德国,多特蒙德技术大学,Technical University of Dortmund
146,德国,法兰克福大学,University of Frankfurt
147,德国,弗莱堡大学,University of Freiburg
148,德国,哥廷根大学,University of Goettingen
149,德国,格赖夫斯瓦尔德大学,University of Greifswald
150,德国,哈雷-维滕贝格大学,Martin-Luther-Universität Halle-Wittenberg
151,德国,海德堡大学,Heidelberg University
152,德国,汉堡大学,University of Hamburg
153,德国,汉诺威大学,University of Hannover
154,德国,汉诺威医学院,Hannover Medical School
155,德国,霍恩海姆大学,University of Hohenheim
156,德国,基尔大学,University of Kiel
157,德国,吉森大学,University of Giessen
158,德国,卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology (KIT)
159,德国,凯撒斯劳滕工业大学,University of Kaiserslautern
160,德国,康斯坦茨大学,University of Konstanz
161,德国,科隆大学,University of Cologne
162,德国,莱比锡大学,University of Leipzig
163,德国,雷根斯堡大学,University of Regensburg
164,德国,罗斯托克大学,University of Rostock
165,德国,马尔堡大学,University of Marburg
166,德国,曼海姆大学,University of Mannheim
167,德国,美因茨大学,University of Mainz
168,德国,明斯特大学,University of Muenster
169,德国,慕尼黑大学,University of Munich
170,德国,慕尼黑工业大学,Technical University of Munich
171,德国,萨尔大学,Saarland University
172,德国,斯图加特大学,University of Stuttgart
173,德国,图宾根大学,University of Tuebingen
174,德国,维尔茨堡大学,University of Wuerzburg
175,德国,乌尔姆大学,University of Ulm
176,德国,亚琛工业大学,RWTH Aachen University
177,德国,耶拿大学,University of Jena
178,俄罗斯,高等经济学院,Higher School of Economics (HSE)
179,俄罗斯,国家研究托木斯克理工大学,National Research Tomsk Polytechnic University
180,俄罗斯,国立托木斯克大学,Tomsk State University
181,俄罗斯,喀山联邦大学,Kazan Federal University
182,俄罗斯,莫斯科国立大学,Lomonosov Moscow State University
183,俄罗斯,莫斯科国立国际关系学院,Moscow State Institute of International Relations (MGIMO University)
184,俄罗斯,莫斯科国立科技大学,Bauman Moscow State Technical University
185,俄罗斯,莫斯科国立物理与科技大学,Moscow Institute of Physics and Technology State University
186,俄罗斯,莫斯科核子研究大学,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
187,俄罗斯,圣彼得堡国立大学,Saint Petersburg State University
188,俄罗斯,圣彼得堡理工大学,Peter the Great Saint-Petersburg Polytechnic University
189,俄罗斯,新西伯利亚国立大学,Novosibirsk State University
190,俄罗斯,新西伯利亚国立技术大学,Novosibirsk State Technical University
191,法国,埃塞克商学院,ESSEC Business School
192,法国,艾克斯-马赛大学,Aix-Marseille University
193,法国,奥弗涅大学,University of Auvergne
194,法国,巴黎第二大学,Université Panthéon-Assas (Paris 2)
195,法国,巴黎第九大学,Paris Dauphine University (Paris 9)
196,法国,巴黎第六大学,Pierre and Marie Curie University - Paris 6
197,法国,巴黎第七大学,University Paris Diderot - Paris 7
198,法国,巴黎第三大学,Université Sorbonne Nouvelle Paris 3
199,法国,巴黎第十大学,Université Paris Ouest Nanterre La Défense
200,法国,巴黎第十三大学,Université Paris 13 Nord
201,法国,巴黎第十一大学,University of Paris-Sud (Paris 11)
202,法国,巴黎第四大学,Université Paris-Sorbonne (Paris IV)
203,法国,巴黎第五大学,University of Paris Descartes (Paris 5)
204,法国,巴黎第一大学,Université Paris 1 Panthéon-Sorbonne
205,法国,巴黎高等电信学院,TELECOM ParisTech
206,法国,巴黎高等矿业学校,MINES ParisTech
207,法国,巴黎高等农艺科学学院,"Agro, ParisTech"
208,法国,巴黎高等商学院,HEC Paris School of Management
209,法国,巴黎高等师范学校,Ecole Normale Superieure - Paris
210,法国,巴黎高科工程技术学校,"Arts et Métiers, ParisTech"
211,法国,巴黎工业物理化学学校,ESPCI ParisTech
212,法国,巴黎国家高等工业设计学院,"Ecole Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers"
213,法国,巴黎路桥学院,Ecole des Ponts ParisTech
214,法国,巴黎政治学院,Sciences Po Paris
215,法国,巴黎中央理工学院,Ecole Centrale de Paris
216,法国,巴黎综合理工学院,Ecole Polytechnique
217,法国,波尔多大学,University of Bordeaux
218,法国,法国国立园艺学院,Agrocampus Ouest
219,法国,高等电力学院,École Supérieure d'Électricité
220,法国,格勒诺布尔第一大学,Joseph Fourier University (Grenoble 1)
221,法国,格勒诺布尔高等商学院,Grenoble Graduate School of Business
222,法国,格勒诺布尔理工学院,Institut polytechnique de Grenoble - Grenoble Institute of Technology
223,法国,贡比涅技术大学,Université de Technologie de Compiègne (UTC)
224,法国,国立蒙彼利埃高等农艺学院,"Sup Agro, Montpellier"
225,法国,卡尚高等师范学院,Ecole Normale Supérieure de Cachan
226,法国,雷恩第一大学,University of Rennes 1
227,法国,里昂第二大学,Université Lumière Lyon 2
228,法国,里昂第一大学,Claude Bernard University Lyon 1
229,法国,里昂高等师范学校,Ecole Normale Superieure - Lyon
230,法国,里昂商学院,EMLYON Business School
231,法国,里昂应用科学学院,National Institute of Applied Sciences of Lyon (INSA Lyon)
232,法国,里昂中央理工学院,Ecole Centrale de Lyon
233,法国,里尔第二大学,Lille 2 University – Health and Law
234,法国,里尔第三大学,Université Charles-de-Gaulle Lille 3
235,法国,里尔第一大学,"Université Lille 1, Sciences et Technologies"
236,法国,洛林大学,University of Lorraine
237,法国,蒙彼利埃大学,University of Montpellier
238,法国,蒙彼利埃第二大学,Université Montpellier 2 Sciences et Techniques
239,法国,蒙彼利埃高等化学学院,"ENSCM, Chimie Montpellier"
240,法国,南特大学,University of Nantes
241,法国,南特中央理工学院,Ecole Centrale de Nantes
242,法国,尼斯大学,University of Nice Sophia Antipolis
243,法国,欧洲工商管理学院,INSEAD
244,法国,欧洲商学院,ESCP Europe
245,法国,萨瓦大学,Université de Savoie
246,法国,斯特拉斯堡大学,University of Strasbourg
247,法国,图卢兹第三大学,Paul Sabatier University (Toulouse 3)
248,法国,图卢兹第一大学,Toulouse 1 Capitole University
249,法国,图卢兹经济学院,Toulouse School of Economics
250,菲律宾,德拉萨大学,De La Salle University
251,菲律宾,菲律宾大学,University of the Philippines
252,菲律宾,马尼拉雅典耀大学,Ateneo de Manila University
253,芬兰,阿尔托大学,Aalto University
254,芬兰,埃博学术大学,Abo Akademi University
255,芬兰,奥卢大学,University of Oulu
256,芬兰,东芬兰大学,University of Eastern Finland
257,芬兰,赫尔辛基大学,University of Helsinki
258,芬兰,坦佩雷大学,University of Tampere
259,芬兰,坦佩雷理工大学,Tampere University of Technology
260,芬兰,图尔库大学,University of Turku
261,芬兰,于韦斯屈莱大学,University of Jyvaskyla
262,哥伦比亚,安第斯大学,Universidad de los Andes
263,哥伦比亚,安蒂奥基亚省大学,Universidad de Antioquia
264,哥伦比亚,哥伦比亚对外大学,Universidad Externado de Colombia
265,哥伦比亚,哥伦比亚国立大学,Universidad Nacional de Colombia
266,哥伦比亚,哈韦里安纳主教大学,Pontificia Universidad Javeriana
267,哥伦比亚,拉萨瓦纳大学,Universidad de La Sabana
268,哈萨克斯坦,法拉比国立哈萨克斯坦大学,Al-Farabi Kazakh National University
269,哈萨克斯坦,国立欧亚大学,L.N. Gumilyov Eurasian National University
270,韩国,成均馆大学,Sungkyunkwan University
271,韩国,东国大学,Dongguk University
272,韩国,高丽大学,Korea University
273,韩国,光州科技学院,Gwangju Institute of Science and Technology
274,韩国,国立釜山大学,Pusan National University
275,韩国,国立庆尚大学,Gyeongsang National University
276,韩国,国立全北大学,Chonbuk National University
277,韩国,国立全南大学,Chonnam National University
278,韩国,国立忠南大学,Chungnam National University
279,韩国,韩国科学技术院,Korea Advanced Institute of Science and Technology
280,韩国,韩国岭南大学,Yeungnam University
281,韩国,韩国天主教大学,Catholic University of Korea
282,韩国,韩国外国语大学,Hankuk (Korea) University of Foreign Studies
283,韩国,韩国中央大学,Chung-Ang University(CAU)
284,韩国,汉阳大学,Hanyang University
285,韩国,弘益大学,Hongik University
286,韩国,梨花女子大学,Ewha Womans University
287,韩国,浦项理工大学,Pohang University of Science and Technology
288,韩国,庆北国立大学,Kyungpook National University
289,韩国,庆熙大学,Kyung Hee University
290,韩国,仁荷大学,Inha University
291,韩国,首尔大学,University of Seoul
292,韩国,首尔国立大学,Seoul National University
293,韩国,蔚山大学,University of Ulsan
294,韩国,西江大学,Sogang University
295,韩国,亚洲大学,Ajou University
296,韩国,延世大学,Yonsei University
297,荷兰,阿姆斯特丹大学,University of Amsterdam
298,荷兰,阿姆斯特丹自由大学,VU University Amsterdam
299,荷兰,埃因霍温工业大学,Eindhoven University of Technology
300,荷兰,爱因霍芬设计学院,Design Academy Eindhoven
301,荷兰,代尔夫特理工大学,Delft University of Technology
302,荷兰,蒂尔堡大学,Tilburg University
303,荷兰,格罗宁根大学,University of Groningen
304,荷兰,荷兰皇家美术学院,"Royal Academy of Art, The Hague (KABK)"
305,荷兰,莱顿大学,Leiden University
306,荷兰,马斯特里赫特大学,Maastricht University
307,荷兰,奈梅亨大学,Radboud University Nijmegen
308,荷兰,特文特大学,University of Twente
309,荷兰,瓦格宁根大学,Wageningen University and Research Center
310,荷兰,乌得勒支大学,Utrecht University
311,荷兰,伊拉斯姆斯大学鹿特丹管理学院,"Rotterdam School of Management, Erasmus University"
312,荷兰,伊拉兹马斯大学,Erasmus University Rotterdam
313,加拿大,阿尔伯塔大学,University of Alberta
314,加拿大,艾米丽卡尔艺术设计大学,Emily Carr University of Art + Design
315,加拿大,达尔豪斯大学,Dalhousie University
316,加拿大,多伦多大学,University of Toronto
317,加拿大,圭尔夫大学,University of Guelph
318,加拿大,滑铁卢大学,University of Waterloo
319,加拿大,皇后大学,Queen's University
320,加拿大,卡尔顿大学,Carleton University
321,加拿大,卡尔加里大学,University of Calgary
322,加拿大,魁北克大学,Université du Québec
323,加拿大,魁北克大学蒙特利尔分校,Université du Québec à Montréal
324,加拿大,拉瓦尔大学,Laval University
325,加拿大,马尼托巴大学,University of Manitoba
326,加拿大,麦吉尔大学,McGill University
327,加拿大,麦克马斯特大学,McMaster University
328,加拿大,蒙特利尔大学,University of Montreal
329,加拿大,纽芬兰纪念大学,Memorial University of Newfoundland
330,加拿大,萨斯喀彻温大学,University of Saskatchewan
331,加拿大,舍布鲁克大学,Université de Sherbrooke
332,加拿大,维多利亚大学,University of Victoria
333,加拿大,渥太华大学,University of Ottawa
334,加拿大,西安大略大学,University of Western Ontario
335,加拿大,西蒙弗雷泽大学,Simon Fraser University
336,加拿大,协和大学（加拿大）,Concordia University
337,加拿大,英属哥伦比亚大学,University of British Columbia
338,加拿大,约克大学(加拿大),York University
339,捷克共和国,奥斯特拉瓦技术大学,VŠB - Technical University of Ostrava
340,捷克共和国,布尔诺科技大学,Brno University of Technology
341,捷克共和国,布拉格查尔斯大学,Charles University in Prague
342,捷克共和国,布拉格科技大学,Czech Technical University in Prague
343,捷克共和国,捷克科学院,Academy of Sciences of the Czech Republic
344,捷克共和国,捷克美术学院,Academy of Fine Arts
345,捷克共和国,帕拉茨基大学,Palacky University Olomouc
346,卡塔尔,卡塔尔大学,Qatar University
347,克罗地亚共和国,萨格勒布大学,University of Zagreb
348,肯尼亚,内罗毕大学,University of Nairobi
349,黎巴嫩,贝鲁特美国大学,American University of Beirut (AUB)
350,立陶宛,维尔纽斯大学,Vilnius University
351,立陶宛,维尔纽斯科技大学,Vilnius Gediminas Technical University
352,卢森堡,卢森堡大学,University of Luxembourg
353,罗马尼亚,贝碧思鲍耶大学,Babes-Bolyai University
354,罗马尼亚,布加勒斯特大学,University of Bucharest
355,罗马尼亚,西蒂米什瓦拉大学,Universitatea de Vest din Timisoara / West University of Timisoara
356,罗马尼亚,亚历山德鲁·库扎大学,Alexandru Ioan Cuza University
357,马来西亚,多媒体大学,Multimedia University (MMU)
358,马来西亚,马来西亚北方大学,Universiti Utara Malaysia (UUM)
359,马来西亚,马来西亚博特拉大学,Universiti Putra Malaysia (UPM)
360,马来西亚,马来西亚国民大学,Universiti Kebangsaan Malaysia (UKM)
361,马来西亚,马来西亚侯赛因大学,Universiti Tun Hussein Onn Malaysia (UTHM)
362,马来西亚,马来西亚科技大学,Universiti Sains Malaysia (USM)
363,马来西亚,马来西亚理工大学,Universiti Teknologi Malaysia
364,马来西亚,马来西亚理科大学,"University of Science, Malaysia"
365,马来西亚,马来西亚石油大学,Universiti Teknologi Petronas (Petronas)
366,马来西亚,马来亚大学,Universiti Malaya
367,马来西亚,玛拉科技大学,Universiti Teknologi MARA - UiTM
368,美国,阿肯色大学-菲耶特维勒,University of Arkansas at Fayetteville
369,美国,阿肯色大学-小石城,University of Arkansas at Little Rock
370,美国,阿拉巴马大学,University of Alabama--Tuscaloosa
371,美国,阿拉巴马大学-伯明翰,University of Alabama at Birmingham
372,美国,阿拉斯加大学-费尔班克斯,University of Alaska - Fairbanks
373,美国,埃莫里大学,Emory University
374,美国,爱达荷大学,University of Idaho
375,美国,爱荷华大学,University of Iowa
376,美国,爱荷华州立大学,Iowa State University
377,美国,奥本大学,Auburn University
378,美国,北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill
379,美国,北卡罗来纳州立大学-罗利,North Carolina State University - Raleigh
380,美国,北伊利诺伊大学,Northern Illinois University
381,美国,贝勒大学,Baylor University
382,美国,贝勒医学院,Baylor College of Medicine
383,美国,宾夕法尼亚大学,University of Pennsylvania
384,美国,宾夕法尼亚州立大学-大学城,Pennsylvania State University - University Park
385,美国,波士顿大学,Boston University
386,美国,波士顿学院,Boston College
387,美国,布兰迪斯大学,Brandeis University
388,美国,布朗大学,Brown University
389,美国,达特茅斯学院,Dartmouth College
390,美国,德克萨斯大学阿灵顿分校,University of Texas--Arlington
391,美国,德克萨斯大学安德森肿瘤中心,University of Texas M. D. Anderson Cancer Center
392,美国,德克萨斯大学奥斯汀分校,University of Texas at Austin
393,美国,德克萨斯大学达拉斯分校,University of Texas at Dallas
394,美国,德克萨斯大学圣安东尼奥分校,University of Texas at San Antonio
395,美国,德克萨斯大学卫生科学中心-圣安东尼奥,University of Texas Health Science Center at San Antonio
396,美国,德克萨斯大学卫生科学中心-休斯顿,University of Texas Health Science Center at Houston
397,美国,德克萨斯大学西南医学中心,University of Texas Southwestern Medical Center at Dallas
398,美国,德克萨斯大学医学部-加尔维斯顿,University of Texas Medical Branch at Galveston
399,美国,德克萨斯理工大学,Texas Tech University
400,美国,德雷塞尔大学,Drexel University
401,美国,德州农工大学,Texas A&M University
402,美国,东北大学(美国),Northeastern University
403,美国,杜克大学,Duke University
404,美国,杜兰大学,Tulane University
405,美国,俄亥俄大学,Ohio University
406,美国,俄亥俄州立大学-哥伦布,Ohio State University - Columbus
407,美国,俄克拉荷马大学-诺曼,University of Oklahoma - Norman
408,美国,俄克拉荷马州立大学,Oklahoma State University
409,美国,俄勒冈大学,University of Oregon
410,美国,俄勒冈卫生科学大学,Oregon Health and Science University
411,美国,俄勒冈州立大学,Oregon State University
412,美国,范德堡大学,Vanderbilt University
413,美国,佛罗里达大学,University of Florida
414,美国,佛罗里达国际大学,Florida International University
415,美国,佛罗里达州立大学,Florida State University
416,美国,佛蒙特大学,University of Vermont
417,美国,弗吉尼亚大学,University of Virginia
418,美国,弗吉尼亚理工学院,Virginia Polytechnic Institute and State University
419,美国,弗吉尼亚联邦(州立)大学,Virginia Commonwealth University
420,美国,福坦莫大学,Fordham University
421,美国,哥伦比亚大学,Columbia University
422,美国,哈佛大学,Harvard University
423,美国,华盛顿大学,University of Washington
424,美国,华盛顿大学-圣路易斯,Washington University in St. Louis
425,美国,华盛顿州立大学-普尔曼,Washington State University
426,美国,怀俄明大学,University of Wyoming
427,美国,霍华德大学,Howard University
428,美国,加州大学-伯克利,"University of California, Berkeley"
429,美国,加州大学-戴维斯,"University of California, Davis"
430,美国,加州大学-尔湾分校,"University of California, Irvine"
431,美国,加州大学河滨分校,"University of California, Riverside"
432,美国,加州大学旧金山分校,"University of California, San Francisco"
433,美国,加州大学-洛杉矶,"University of California, Los Angeles"
434,美国,加州大学-圣地亚哥,"University of California, San Diego"
435,美国,加州大学-圣克鲁兹,"University of California, Santa Cruz"
436,美国,加州大学-圣塔芭芭拉,"University of California, Santa Barbara"
437,美国,加州理工学院,California Institute of Technology
438,美国,加州设计艺术中心学院,Art Center College of Design
439,美国,加州艺术学院,California College of the Arts
440,美国,加州艺术学院,California Institute of the Arts
441,美国,旧金山大学,University of San Francisco
442,美国,卡内基梅隆大学,Carnegie Mellon University
443,美国,凯斯西储大学,Case Western Reserve University
444,美国,堪萨斯大学,University of Kansas
445,美国,堪萨斯州立大学,Kansas State University
446,美国,康乃尔大学,Cornell University
447,美国,康涅狄格大学,University of Connecticut
448,美国,科罗拉多大学-玻尔得,University of Colorado at Boulder
449,美国,科罗拉多大学-丹佛,University of Colorado at Denver
450,美国,科罗拉多矿业学院,Colorado School of Mines
451,美国,科罗拉多州立大学,Colorado State University
452,美国,克拉克大学,Clark University
453,美国,克莱姆森大学,Clemson University
454,美国,克兰布鲁克艺术学院,Cranbrook Academy of Art
455,美国,肯塔基大学,University of Kentucky
456,美国,拉什大学,Rush University
457,美国,莱斯大学,Rice University
458,美国,里海大学,Lehigh University
459,美国,路易斯安娜州立大学-巴吞鲁日,Louisiana State University - Baton Rouge
460,美国,路易维尔大学,University of Louisville
461,美国,伦斯勒理工学院,Rensselaer Polytechnic Institute
462,美国,罗德岛大学,University of Rhode Island
463,美国,罗德岛设计学院,Rhode Island School of Design (RISD)
464,美国,罗格斯，新泽西州立大学，新布朗思威克分校,"Rutgers, The State University of New Jersey - New Brunswick"
465,美国,"罗格斯新泽西州州立大学,纽瓦克","Rutgers - The State University of New Jersey, Newark"
466,美国,罗切斯特大学,University of Rochester
467,美国,洛克菲勒大学,Rockefeller University
468,美国,麻省理工学院,Massachusetts Institute of Technology
469,美国,马里兰大学-巴尔的摩,"University of Maryland, Baltimore"
470,美国,马里兰大学-巴尔的摩县,"University of Maryland, Baltimore County"
471,美国,马里兰大学-大学城,"University of Maryland, College Park"
472,美国,马萨诸塞大学阿默斯特分校,University of Massachusetts Amherst
473,美国,马萨诸塞大学医学院伍斯特分校,University of Massachusetts Medical School - Worcester
474,美国,迈阿密大学,University of Miami
475,美国,迈阿密大学（俄亥俄）,Miami University
476,美国,梅奥临床医学院,Mayo Medical School
477,美国,美国大学,American University
478,美国,蒙大拿大学-密索拉,University of Montana - Missoula
479,美国,密苏里大学-哥伦比亚,University of Missouri - Columbia
480,美国,密西西比大学,University of Mississippi
481,美国,密歇根大学安娜堡分校,University of Michigan-Ann Arbor
482,美国,密歇根理工大学,Michigan Technological University
483,美国,密歇根州立大学,Michigan State University
484,美国,明尼苏达大学-双城,"University of Minnesota, Twin Cities"
485,美国,内布拉斯加大学-林肯,University of Nebraska - Lincoln
486,美国,内布拉斯加大学医学中心,University of Nebraska Medical Center
487,美国,南达科他大学,University of South Dakota
488,美国,南方卫理公会大学,Southern Methodist University
489,美国,南佛罗里达大学,University of South Florida
490,美国,南加州大学,University of Southern California
491,美国,南卡罗来纳大学-哥伦比亚,University of South Carolina - Columbia
492,美国,南卡罗来纳医科大学,Medical University of South Carolina
493,美国,纽约城市大学-城市学院,City University of New York City College
494,美国,纽约大学,New York University
495,美国,纽约州立大学阿尔巴尼分校,State University of New York Albany
