序号,国家/地区,中文校名,外文校名
1,阿根廷,阿根廷南方大学,Universidad Austral
2,阿根廷,阿根廷天主大学,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
3,阿根廷,巴勒莫大学,Universidad de Palermo (UP)
4,阿根廷,贝尔格拉诺大学,Universidad de Belgrano
5,阿根廷,布宜诺斯艾利斯大学,Universidad de Buenos Aires
6,阿根廷,布宜诺斯艾利斯理工学院,Instituto Tecnológico de Buenos Aires (ITBA)
7,阿根廷,国立科尔多瓦大学,Universidad Nacional de Córdoba - UNC
8,阿根廷,国立拉普拉塔大学,Universidad Nacional de La Plata
9,阿根廷,国立罗萨里奥大学,Universidad Nacional de Rosario
10,阿根廷,国立马德普拉塔大学,Universidad Nacional de Mar del Plata
11,阿根廷,托尔夸托迪特利亚大学,Universidad Torcuato Di Tella
12,阿拉伯联合酋长国,阿联酋大学,United Arab Emirates University
13,阿拉伯联合酋长国,哈里发大学,Khalifa University
14,阿拉伯联合酋长国,沙迦美国大学,American University of Sharjah
15,埃及,艾因夏姆斯大学,Ain Shams University
16,埃及,开罗大学,Cairo University
17,埃及,开罗美国大学,American University in Cairo
18,埃及,亚历山大大学,Alexandria University
19,爱尔兰,爱尔兰皇家外科医学院,Royal College of Surgeons in Ireland
20,爱尔兰,爱尔兰艺术设计学院,National College of Art and Design
21,爱尔兰,都柏林城市大学,Dublin City University
22,爱尔兰,都柏林大学学院,University College Dublin
23,爱尔兰,都柏林理工学院,Dublin Institute of Technology
24,爱尔兰,都柏林三一学院,Trinity College Dublin
25,爱尔兰,国立爱尔兰大学高威分校,"National University of Ireland, Galway"
26,爱尔兰,国立爱尔兰大学梅努斯分校,"National University of Ireland, Maynooth"
27,爱尔兰,科克大学学院,University College Cork
28,爱尔兰,利默里克大学,University of Limerick
29,爱尔兰,梅努斯大学,Maynooth University
30,爱沙尼亚共和国,爱沙尼亚生命科学大学,Estonian University of Life Sciences
31,爱沙尼亚共和国,塔尔图大学,University of Tartu
32,奥地利,格拉茨工业大学,Graz University of Technology
33,奥地利,格拉茨医科大学,Medical University of Graz
34,奥地利,卡尔·弗朗岑斯格拉茨大学,University of Graz
35,奥地利,林茨大学,Johannes Kepler University of Linz
36,奥地利,维也纳大学,University of Vienna
37,奥地利,维也纳工业大学,Vienna University of Technology
38,奥地利,维也纳经济大学,WU (Vienna University of Economics and Business)
39,奥地利,维也纳兽医大学,University of Veterinary Medicine Vienna
40,奥地利,维也纳医科大学,Medical University of Vienna
41,奥地利,维也纳自然资源与应用生命科学大学,University of Natural Resources and Applied Life Sciences Vienna
42,奥地利,因斯布鲁克大学,University of Innsbruck
43,奥地利,因斯布鲁克医科大学,Medical University of Innsbruck
44,澳大利亚,阿德雷德大学,University of Adelaide
45,澳大利亚,埃迪斯科文大学,Edith Cowan University
46,澳大利亚,澳大利亚国立大学,Australian National University
47,澳大利亚,邦德大学,Bond University
48,澳大利亚,查尔斯·达尔文大学,Charles Darwin University
49,澳大利亚,迪肯大学,Deakin University
50,澳大利亚,弗林德斯大学,Flinders University
51,澳大利亚,格里菲思大学,Griffith University
52,澳大利亚,皇家墨尔本理工大学,RMIT University
53,澳大利亚,科廷科技大学,Curtin University of Technology
54,澳大利亚,昆士兰大学,University of Queensland
55,澳大利亚,昆士兰科技大学,Queensland University of Technology
56,澳大利亚,拉筹伯大学,La Trobe University
57,澳大利亚,麦考瑞大学,Macquarie University
58,澳大利亚,莫纳什大学,Monash University
59,澳大利亚,墨尔本大学,University of Melbourne
60,澳大利亚,默多克大学,Murdoch University
61,澳大利亚,南澳大学,University of South Australia
62,澳大利亚,南十字星大学,Southern Cross University
63,澳大利亚,纽卡斯尔大学,University of Newcastle
64,澳大利亚,斯威本科技大学,Swinburne University of Technology
65,澳大利亚,塔斯马尼亚大学,University of Tasmania
66,澳大利亚,维多利亚大学,Victoria University
67,澳大利亚,卧龙冈大学,University of Wollongong
68,澳大利亚,西澳大利亚大学,University of Western Australia
69,澳大利亚,西悉尼大学,Western Sydney University
70,澳大利亚,悉尼大学,University of Sydney
71,澳大利亚,悉尼科技大学,"University of Technology, Sydney"
72,澳大利亚,新南威尔士大学,University of New South Wales
73,澳大利亚,新英格兰大学,University of New England Australia
74,澳大利亚,詹姆斯库克大学,James Cook University
75,巴基斯坦,阿加汗大学,Aga Khan University
76,巴基斯坦,阿里德农业大学,Arid Agriculture University
77,巴基斯坦,巴基斯坦信息技术学院,COMSATS Institute of Information Technology
78,巴基斯坦,费萨拉巴德农业大学,"University of Agriculture, Faisalabad"
79,巴基斯坦,伊斯兰堡国立科技大学,National University of Sciences And Technology (NUST) Islamabad
80,巴基斯坦,真纳大学,Quaid-i-azam University
81,巴林,阿拉伯海湾大学,Arabian Gulf University
82,巴西,巴拉那联邦大学,Universidade Federal do Paraná (UFPR)
83,巴西,巴西国立理论与应用数学研究所,Instituto Nacional de Matemática Pura e Aplicada (IMPA)
84,巴西,巴西利亚大学,Universidade de Brasilia
85,巴西,伯南布哥州联邦大学,Universidade Federal de Pernambuco(UFPE)
86,巴西,弗鲁米嫩塞联邦大学,Universidade Federal Fluminense
87,巴西,坎皮纳斯州立大学,Universidade Estadual de Campinas
88,巴西,拉夫拉斯联邦大学,Universidade Federal de Lavras
89,巴西,里奥格兰德天主大学,Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)
90,巴西,里约热内卢联邦大学,Universidade Federal do Rio de Janeiro
91,巴西,里约热内卢天主教大学,Pontifícia Universidade Católica do Rio de Janeiro
92,巴西,里约热内卢州立大学,Universidade do Estado do Rio de Janeiro (UERJ)
93,巴西,米纳斯吉拉斯联邦大学,Universidade Federal de Minas Gerais
94,巴西,南里奥格兰德州联邦大学,Universidade Federal do Rio Grande do Sul
95,巴西,圣保罗大学,Universidade de São Paulo
96,巴西,圣保罗联邦大学,Universidade Federal de São Paulo (UNIFESP)
97,巴西,圣保罗天主政治大学,Pontificia Universidade Católica de São Paulo (PUC -SP)
98,巴西,圣保罗州立大学,São Paulo State University (UNESP)
99,巴西,圣卡洛斯联邦大学,Universidade Federal de São Carlos - (UFSCAR)
100,巴西,圣卡塔琳娜州联邦大学,Universidade Federal de Santa Catarina
101,巴西,瓦加斯基金会,Fundação Getulio Vargas (FGV)
102,巴西,维索萨联邦大学,Universidade Federal de Viçosa-UFV
103,白俄罗斯,白俄罗斯国立大学,Belarus State University
104,保加利亚,圣克莱门特大学,University of St. Kliment Ohridski
105,比利时,安特卫普大学,University of Antwerp
106,比利时,布鲁塞尔自由大学(法语),Université libre de Bruxelles (ULB)
107,比利时,布鲁塞尔自由大学(佛兰德语),Vrije Universiteit Brussel
108,比利时,根特大学,Ghent University
109,比利时,列日大学,University of Liege
110,比利时,鲁汶大学(法语),Catholic University of Louvain
111,比利时,鲁汶大学(佛兰德语),KU Leuven
112,冰岛,冰岛大学,University of Iceland
113,波兰,波兰矿冶学院,AGH University of Science and Technology
114,波兰,弗罗茨瓦夫大学,University of Wroclaw
115,波兰,弗罗茨瓦夫工业大学,Wroclaw University of Technology
116,波兰,华沙大学,University of Warsaw
117,波兰,华沙理工大学,Warsaw University of Technology
118,波兰,华沙中央农村经济学院,Warsaw University of Life Sciences
119,波兰,克拉科夫雅盖隆大学,Jagiellonian University
120,波兰,罗兹大学,University of Lodz
121,丹麦,奥尔堡大学,Aalborg University
122,丹麦,奥胡斯大学,Aarhus University
123,丹麦,丹麦技术大学,Technical University of Denmark
124,丹麦,哥本哈根大学,University of Copenhagen
125,丹麦,哥本哈根商学院,Copenhagen Business School
126,丹麦,罗斯基勒大学,Roskilde University
127,丹麦,南丹麦大学,University of Southern Denmark
128,德国,埃朗根-纽伦堡大学,University of Erlangen-Nuremberg
129,德国,柏林工业大学,Technical University of Berlin
130,德国,柏林洪堡大学,University of Berlin
131,德国,柏林夏里特医学院,Charite - Medical University of Berlin
132,德国,柏林自由大学,Free University of Berlin
133,德国,拜罗伊特大学,University of Bayreuth
