序号,国家/地区,中文校名,外文校名
1,埃及,曼苏尔大学,Mansoura University
2,爱沙尼亚,塔林理工大学,Tallinn University of Technology (TalTech)
3,巴基斯坦,巴基斯坦工程与应用科学学院,Pakistan Institute of Engineering and Applied Sciences (PIEAS)
4,巴西,佩洛塔斯联邦大学,Universidade Federal de Pelotas
5,波多黎各,波多黎各大学,Universidad de Puerto Rico
6,俄罗斯,俄罗斯友谊大学,RUDN University
7,俄罗斯,圣彼得堡欧洲大学,European University at St Petersburg
8,法国,特鲁瓦工程技术大学,"Université de Technologie, Troyes (UTT)"
9,法国,阿基坦大学与科研机构共同体大学,Communaute d'Universites et Etablissements d'Aquitaine (ComUE)
10,法国,巴黎东大,Universite Paris-Est (ComUE)
11,法国,巴黎萨克雷大学,Universite Paris Saclay (ComUE)
12,法国,勃艮第-弗朗什孔泰大学,Universite Bourgogne Franche-Comte (ComUE)
13,法国,大西洋国立高等矿业电信学校,IMT Atlantique
14,法国,法国北部里尔大学,Universite Lille-Nord-deFrance (ComUE)
15,法国,国立高等美术学校,"École Nationale Supérieure des Beaux-Arts, Paris"
16,法国,朗多克鲁西永大学,Languedoc-Roussillon Universites (ComUE)
17,法国,里昂大学,Universite de Lyon (ComUE)
18,法国,蒙波利埃第三大学,Université de Montpellier
19,法国,索邦巴黎西岱大学,Universite Sorbonne Paris Cite-USPC (ComUE)
20,法国,索邦大学,Sorbonne University
21,法国,北方高等商学院,EDHEC Business School
22,哥伦比亚,EAFIT大学,Universidad EAFIT
23,哈萨克斯坦,奥埃佐夫南哈萨克斯坦国立大学,Auezov South Kazakhstan State University (SKSU)
24,荷兰,阿姆斯特丹艺术学校,Amsterdam School of the Arts
25,荷兰,马斯特里赫特管理学院,Maastricht School of Management
26,荷兰,伊拉兹马斯经济学院,Erasmus School of Economics
27,加拿大,安大略艺术与设计大学,OCAD University
28,捷克共和国,布尔诺孟德尔大学,Mendel University in Brno
29,捷克共和国,布拉格化学技术学院,"University of Chemistry and Technology, Prague"
30,捷克共和国,布拉格艺术、建筑与设计学院,"Academy of Arts, Architecture and Design Prague"
31,捷克共和国,捷克生命科学大学,Czech University of Life Sciences in Prague
32,罗马尼亚,乔治·埃内斯库国家艺术大学,University of Arts George Enescu Iasi
33,马来西亚,思特雅大学,UCSI University
34,美国,阿尔弗雷德大学纽约州立陶瓷学院,New York State College of Ceramics at Alfred University
35,美国,阿拉巴马大学亨茨维尔分校,University of Alabama in Huntsville
36,美国,伯克利学院,Berkeley College
37,美国,加利大学-默塞德,"University of California, Merced"
38,美国,密西西比州立大学,Mississippi State University
39,美国,缅因大学-奥罗诺,University of Maine
40,美国,圣地亚哥大学,University of San Diego
41,美国,斯克利普斯研究所,The Scripps Research Institute (TSRI)
42,美国,新墨西哥矿业技术学院,New Mexico Institute of Mining and Technology
43,墨西哥,墨西哥学院大学,"El Colegio de México, A.C."
44,挪威,奥斯陆建筑学院,Oslo School of Architecture
45,日本,帝京大学,Teikyo University
46,日本,名古屋城市大学,Nagoya City University
47,日本,名古屋技术学院,Nagoya Institute of Technology (NIT)
48,日本,藤田医科大学,Fujita Health University
49,瑞士,伯尔尼-苏黎世兽医学院,Vetsuisse Faculty Bern and Zurich
50,沙特阿拉伯,费萨尔国王大学,Alfaisal University
51,坦桑尼亚,达累斯萨拉姆大学,University of Dar es Salaam
52,委内瑞拉,西蒙·玻利瓦尔大学,Universidad Simón Bolívar (USB)
53,文莱,文莱科技大学,Universiti Teknologi Brunei
54,乌克兰,基辅国立语言大学,Kiev National Linguistics University
55,西班牙,巴塞罗那大学酒店管理学院,"University College of Hospitality Management Sant Pol de Mar, Barcelona"
56,西班牙,拉曼·鲁尔大学,Universitat Ramon Llull
57,西班牙,维戈大学,Universidade de Vigo
58,匈牙利,圣伊斯特万大学,Szent István University Göd öllő
59,意大利,国际社会科学自由大学,LUISS University
60,意大利,欧洲设计学院,IED Istituto Europeo di Design
61,印度,贾米亚哈姆达,"Jamia Hamdard, New Delhi"
62,印度,孟买化工学院,"Institute of Chemical Technology (UDCT), Mumbai"
63,印度,圣加索瓦高等教育和研究学院,JSS Academy of Higher Education and Research
64,印度,印度理工学院印多尔分校,Indian Institute of Technology Indore
65,印度尼西亚,雅加达艺术学院,Jakarta Institute for the Arts
66,英国,考文垂大学,Coventry University
67,英国,西苏格兰大学,University of the West of Scotland
68,约旦,约旦大学,University of Jordan
69,智利,智利发展大学,University of Desarroll
