序号,国家/地区,中文校名,外文校名
65,美国,北亚利桑那大学,Northern Arizona University
66,美国,丹佛大学,University of Denver
67,美国,柯蒂斯音乐学院,Curtis Institute of Music
68,美国,肯特州立大学,Kent State University at Kent
69,美国,马里兰艺术学院,Maryland Institute College of Art
70,美国,马萨诸塞大学波士顿分校,University of Massachusetts - Boston
71,美国,纽约视觉艺术学院,School of Visual Arts (SVA)
72,美国,纽约州立大学波切斯分校,Purchase College SUNY
73,美国,史蒂文斯理工学院,Stevens Institute of Technology
74,美国,西弗吉尼亚大学,West Virginia University
75,美国,新墨西哥州立大学,New Mexico State University
76,美国,茱莉亚学院,The Juilliard School
77,秘鲁,卡耶塔诺-埃雷迪亚大学,Universidad Peruana Cayetano Heredia (UPCH)
78,墨西哥,瓜达拉哈拉大学,Universidad de Guadalajara (UDG)
79,南非,西开普大学,University of the Western Cape
80,日本,丰田工业大学,Toyota Technological Institute
81,日本,横滨市立大学,Yokohama City University
82,瑞典,吕勒奥大学,Lulea University
83,瑞典,斯德哥尔摩皇家音乐学院,Royal College of Music in Stockholm (KMH)
84,瑞士,日内瓦音乐学院,Conservatoire de Musique de Genève
85,瑞士,苏黎世艺术大学,Zurich University of the Arts (ZHdK)
86,塞浦路斯,塞浦路斯理工大学,Cyprus University of Technology
87,斯洛伐克,斯洛伐克工业大学,Slovak University of Technology in Bratislava
88,土耳其,安提里姆大学,Atilim University
89,乌克兰,基辅柴可夫斯基音乐学院,Tchaikovsky National Academy of Music (Kiev Conservatory)
90,西班牙,奥维耶多大学,University of Oviedo
91,西班牙,加泰罗尼亚高等音乐学院,Escola Superior de Música de Catalunya
92,匈牙利,李斯特音乐学院,The Liszt Academy of Music
93,伊朗,阿米尔卡比尔理工大学 Amirkabir University of Technology,
94,伊朗,德黑兰医科大学,Tehran University of Medical Sciences
95,意大利,贝加莫大学,University of Bergamo
96,意大利,博尔扎诺自由大学,Free University of Bozen-Bolzano
97,意大利,卡拉布里亚大学,University of Calabria
98,意大利,萨勒诺大学,University of Salerno
99,意大利,圣塞西莉亚音乐学院,Conservatorio Santa Cecilia
100,印度,加尔各答大学,University of Calcutta
101,印度,贾达普大学,Jadavpur University
102,印度,印度科学学院班加罗尔分校,Indian Institute of Science (IISc) Bangalore
103,印度,印度矿业学院丹巴德分校,"Indian School of Mines (ISM) University, Dhanbad"
104,印度,印度信息技术学院阿拉哈巴德校区,Indian Institute of Information Technology (IIIT) - Allahabad
105,印度尼西亚,登巴萨艺术学院,Indonesian Institute of Arts Denpasar
106,印度尼西亚,日惹艺术学院,Indonesia Institute of the Arts Yogyakarta
107,印度尼西亚,苏腊卡尔塔艺术学院,Indonesia Institute of the Arts Surakarta
108,英国,安格利亚鲁斯金大学,Anglia Ruskin University
109,英国,皇家音乐学院,Royal College of Music
110,英国,伦敦大学皇家音乐学校,Royal Academy of Music
111,英国,伦敦大学演讲与戏剧学校,Central School of Speech & Drama
112,英国,伦敦都市大学,London Metropolitan University
113,英国,曼彻斯特城市大学,Manchester Metropolitan University
114,英国,曼彻斯特建筑学院,Manchester School of Architecture
115,英国,诺森比亚大学,Northumbria University at Newcastle
116,英国,三一拉邦艺术学院,Trinity Laban Conservatoire of Music and Dance
117,英国,市政厅音乐及戏剧学院,Guildhall School of Music and Drama
118,英国,苏格兰皇家音乐学院,Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama)
119,智利,阿道夫伊瓦涅斯大学,Universidad Adolfo Ibàñez
120,智利,迭亚戈波塔勒斯大学,Universidad Diego Portales (UDP)
121,中国台湾,元智大学,Yuan Ze University
122,中国香港,香港教育大学,The Education University of Hong Kong
