序号,国家/地区,中文校名,外文校名
1,阿根廷,圣安德烈斯大学,Universidad de San Andrés - UdeSA
2,阿曼,苏丹卡布斯大学,Sultan Qaboos University
3,奥地利,萨尔茨堡莫扎特大学,University Mozarteum Salzburg
4,奥地利,维也纳音乐与表演艺术大学,University of Music and Performing Arts Vienna
5,澳大利亚,澳大利亚天主教大学,Australian Catholic University
6,澳大利亚,查尔斯特大学,Charles Sturt University
7,澳大利亚,堪培拉大学,University of Canberra
8,澳大利亚,南昆士兰大学,University of Southern Queensland
9,澳大利亚,中央昆士兰大学,Central Queensland University
10,巴基斯坦,拉合尔工程技术大学,University of Engineering & Technology (UET) Lahore
11,巴基斯坦,拉合尔管理科学大学,Lahore University of Management Sciences (LUMS)
12,巴西,ABC联邦大学,Universidade Federal do ABC (UFABC)
13,比利时,布鲁塞尔皇家音乐学院,Conservatoire royal de Bruxelles
14,比利时,哈塞尔特大学,Hasselt University
15,波兰,肖邦音乐大学,The Fryderyk Chopin University of Music
16,丹麦,奥胡斯皇家音乐学院,"Royal Academy of Music, Aarhus"
17,丹麦,丹麦皇家建筑艺术学院,The Royal Danish Academy of Fine Arts (KADK)
18,丹麦,丹麦皇家音乐学院,The Royal Danish Academy of Music
19,德国,柏林艺术大学,Universität der Künste Berlin
20,德国,柏林音乐学院,Hochschule für Musik Hanns Eisler Berlin
21,德国,弗莱贝格工业大学,Technische Universität Bergakademie Freiberg
22,德国,汉堡-哈尔堡工业大学,Technische Universität Hamburg-Harburg
23,德国,汉堡音乐与戏剧学院,Hochschule für Musik und Theater Hamburg
24,德国,科隆音乐与舞蹈学院,Hochschule für Musik und Tanz Köln
25,德国,莱比锡音乐与戏剧学院,Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig
26,德国,慕尼黑音乐和戏剧学院,Hochschule für Musik und Theater München
27,德国,锡根大学,University of Siegen
28,俄罗斯,古布金俄罗斯国立石油大学,Federal state budgetary educational institution of higher vocational education «Gubkin Russian State
29,俄罗斯,莫斯科柴可夫斯基音乐学院,Moscow P. I. Tchaikovsky Conservatory
30,俄罗斯,莫斯科国立语言大学,Moscow State Linguistic University
31,俄罗斯,圣彼得堡国立信息技术、机械学与光学研究型大学,ITMO University
32,俄罗斯,圣彼得堡国立音乐学院,Rimsky-Korsakov St. Petersburg State Conservatory
33,俄罗斯,圣彼得堡矿业大学,St.Petersburg Mining University
34,俄罗斯,乌拉尔联邦大学,Ural Federal University
35,法国,巴黎第十二大学,Université Paris-Est Créteil Val de Marne
36,法国,巴黎高等戏剧艺术学院,Conservatoire national supérieur d’art dramatique de Paris (CNSAD)
37,法国,巴黎国立高等音乐舞蹈学院,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP)
38,法国,巴黎中央理工学院—高等电力学院共同体,CentraleSupélec
39,法国,法兰西公学院,College de France
40,法国,凡尔赛大学,Université de Versailles Saint-Quentinen-Yvelines (UVSQ)
41,法国,格勒诺布尔大学,Universite Grenoble Alpes (UGA)
42,法国,里昂高等音乐与舞蹈学院,Conservatoire national supérieur de musique et de danse de Lyon
43,法国,蒙彼利埃高等农业学院,Montpellier SupAgro
44,法国,图尔大学,"Université François-Rabelais, Tours"
45,法国,图卢兹第二大学,Université de Toulouse II-Le Mirail
46,法国,图卢兹联邦大学,Federal University of Toulouse Midi-Pyrénées
47,芬兰,拉彭兰塔理工大学,Lappeenranta University of Technology
48,芬兰,西贝柳斯音乐学院,Sibelius Academy
49,哥伦比亚,罗萨里奥大学,Universidad del Rosario
50,哥斯达黎加,哥斯达黎加大学,Universidad de Costa Rica
51,哈萨克斯坦,国立哈萨克斯坦理工大学,Kazakh National Technical University named after K.I.Satpaev
52,韩国,韩国国立艺术大学,Korea National University of Arts
53,韩国,韩国教员大学,Korea National University of Education
54,韩国,世宗大学,Sejong University
55,韩国,蔚山国立科技学院,Ulsan National Institute of Science & Technology
56,荷兰,乌得勒支艺术学院,Utrecht School of the Arts
57,捷克共和国,布拉格表演艺术学院,Academy of Performing Arts in Prague
58,捷克共和国,布拉格经济大学,"University of Economics, Prague"
59,捷克共和国,马萨克里大学,Masaryk University
60,黎巴嫩,黎巴嫩圣约瑟夫大学,Université Saint-Joseph de Beyrouth
61,马来西亚,马来西亚国际伊斯兰大学,International Islamic University Malaysia (IIUM)
62,马来西亚,沙巴大学,Universiti Malaysia Sabah (UMS)
63,美国,巴布森学院,"Babson College, F.W. Olin Graduate School of Business"
64,美国,北德克萨斯州大学,University of North Texas
